,Company,TypeName,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,GpuType,OpSys,Weight,Price_euros
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.8kg,2099.0
313,Acer,Notebook,15.6,Full HD 1920x1080,AMD,A8-Series 7410,2.2GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,2.23kg,469.0
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1GHz,2GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.1kg,275.0
315,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.33kg,844.0
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8GHz,16GB,1TB SSD,Intel,UHD Graphics,Windows 10,1.29kg,2449.0
317,Lenovo,Notebook,13.3,1366x768,Intel,Celeron Dual Core 3855U,1.6GHz,4GB,16GB Flash Storage,Intel,HD Graphics,Chrome OS,1.45kg,459.9
318,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.95kg,980.0
319,Acer,Notebook,11.6,1366x768,Intel,Pentium Quad Core N3710,1.6GHz,4GB,128GB Flash Storage,Intel,HD Graphics,Windows 10,1.4kg,485.0
320,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.48kg,1292.0
321,Lenovo,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,2.79kg,589.0
322,Asus,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2kg,1094.0
323,HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Intel,UHD Graphics,Windows 10,2.1kg,902.0
324,Acer,Notebook,15.6,1366x768,AMD,A12-Series 9720P,2.7GHz,8GB,256GB SSD,AMD,Radeon RX,Windows 10,2.2kg,659.0
325,Lenovo,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.44kg,292.0
326,Acer,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,6GB,1TB HDD,Intel,HD Graphics,Windows 10,2.23kg,549.0
327,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.7kg,1049.9
328,HP,Ultrabook,12.5,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.26kg,1335.0
329,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8GHz,32GB,1TB SSD,Nvidia,GeForce GTX,Windows 10,2.06kg,2639.0
330,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.7kg,1199.0
331,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2.0kg,943.0
332,Asus,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD +  1TB HDD,Intel,HD Graphics,Windows 10,2kg,1334.0
333,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,1.85kg,449.0
334,Asus,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.5kg,999.0
335,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.48kg,1268.0
336,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,1.9kg,1049.0
337,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.84kg,1144.0
338,Asus,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,Linux,2kg,274.99
339,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,2kg,1142.75
340,Dell,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,500GB HDD,Intel,HD,Linux,2.2kg,274.9
341,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD,A12-Series 9720P,3.6GHz,12GB,2TB HDD,AMD,Radeon,Windows 10,2.2kg,899.0
342,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4GHz,8GB,1TB HDD,Nvidia,GeForce 930MX,Windows 10,2.1kg,716.0
343,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.4kg,2099.0
344,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.2kg,1579.0
345,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.4kg,1129.0
346,HP,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,2GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.44kg,279.0
347,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9GHz,16GB,512GB SSD +  256GB SSD,Intel,UHD Graphics,Windows 10,1.88kg,1607.96
348,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.5kg,375.0
349,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,AMD,Radeon,Windows 10,1.9kg,663.0
350,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX,Windows 10,2.06kg,2027.42
351,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.84kg,1304.0
352,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.7kg,1409.0
353,HP,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,Quadro,Windows 10,2.6kg,1738.27
354,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,2.5GHz,16GB,512GB SSD,Nvidia,GeForce,Windows 10,2.4kg,1403.0
355,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  2TB HDD,AMD,Radeon,Windows 10,2.02kg,970.9
356,Lenovo,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,No OS,2.2kg,321.99
357,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,2.65kg,999.0
358,Dell,Notebook,15.6,Touchscreen 1366x768,Intel,Core i5 7200U,2.5GHz,8GB,2TB HDD,Intel,HD Graphics,Windows 10,2.36kg,557.37
359,Dell,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7300U,2.6GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.36kg,1427.0
360,HP,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,1.86kg,439.0
361,Asus,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2kg,945.0
362,Lenovo,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5GHz,6GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.8kg,719.0
363,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,1.86kg,639.0
364,Lenovo,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,8GB,256GB SSD,Nvidia,GeForce 920MX,No OS,2.2kg,499.0
365,HP,Notebook,15.6,1366x768,Intel,Pentium Quad Core N3710,1.6GHz,8GB,2TB HDD,Intel,HD Graphics,Windows 10,2.04kg,389.0
366,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.8kg,1085.0
367,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,No OS,2.4kg,809.0
368,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,AMD,Radeon R7,Windows 10,2.33kg,899.0
369,HP,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.36kg,1750.0
370,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7GHz,12GB,512GB SSD +  2TB HDD,Nvidia,GeForce GT,Windows 10,2.26kg,1099.0
371,Acer,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,128GB SSD,AMD,Radeon,Windows 10,2.1kg,426.0
372,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD,Ryzen 1700,3GHz,16GB,256GB SSD +  1TB HDD,AMD,Radeon RX,Windows 10,3.25kg,2199.0
373,Lenovo,Notebook,17.3,1600x900,AMD,A8-Series 7410,2.2GHz,4GB,128GB SSD,AMD,Radeon,Windows 10,2.6kg,489.0
374,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.62kg,869.01
375,HP,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3GHz,4GB,256GB SSD,AMD,Radeon,Windows 10,1.91kg,488.99
376,Lenovo,Netbook,11.6,IPS Panel 1366x768,Intel,Celeron Quad Core N3450,1.1GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.59kg,553.0
377,Dell,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.60GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,1.8kg,309.0
378,Asus,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.5kg,286.0
379,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Linux,2.4kg,846.0
380,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3.35kg,1191.0
381,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,128GB SSD,Intel,HD Graphics,No OS,1.85kg,403.5
382,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.3kg,1655.0
383,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.5kg,1099.0
384,Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7GHz,16GB,512GB SSD,Intel,HD Graphics,Windows 10,1.1kg,1748.9
385,Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7GHz,8GB,512GB SSD,Intel,HD Graphics,Windows 10,1.13kg,2282.0
386,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.5kg,549.0
387,Dell,Workstation,15.6,Full HD 1920x1080,Intel,Core i5 6440HQ,2.6GHz,8GB,500GB HDD,AMD,FirePro,Windows 10,2.23kg,1369.0
388,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,2.7GHz,8GB,256GB SSD,Nvidia,Quadro,Windows 10,2kg,2135.0
389,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7GHz,16GB,512GB SSD,Intel,HD Graphics,Windows 10,1.42kg,2509.0
390,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,3kg,1039.0
391,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,3kg,1591.0
392,Acer,Notebook,15.6,IPS Panel 1366x768,Intel,Core i5 8250U,1.6GHz,12GB,1TB HDD,Nvidia,GeForce,Windows 10,2.2kg,693.99
393,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.7kg,1349.0
394,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,AMD,Radeon R7,Linux,2.33kg,778.87
395,HP,Ultrabook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3GHz,4GB,256GB SSD,AMD,Radeon,Windows 10,1.91kg,499.0
396,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon RX,Windows 10,2.1kg,1229.56
397,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.9kg,938.0
398,Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,Quadro,Windows 10,1.78kg,2712.0
399,Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel,Core i7 7500U,2.7GHz,16GB,1TB SSD,Intel,HD Graphics,Windows 10,1.13kg,2625.0
400,Lenovo,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.2kg,306.0
401,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.9kg,1529.0
402,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD +  1TB HDD,AMD,Radeon RX,Windows 10,2.1kg,1144.5
403,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Linux,2.5kg,879.0
404,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.8kg,2249.0
405,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,512GB SSD,Intel,HD Graphics,Windows 10,1.10kg,1873.0
406,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 6500U,2.5GHz,16GB,512GB SSD,Intel,HD Graphics,Windows 10,1.2kg,1747.0
407,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8GHz,8GB,512GB SSD,Intel,HD,Windows 10,1.36kg,1680.0
408,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2.2kg,409.0
409,Lenovo,Notebook,11.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,2GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.15kg,304.45
410,Lenovo,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,512GB SSD,Nvidia,Quadro,Windows 10,2.67kg,1925.0
411,Lenovo,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel,Core i7 7700HQ,2.8GHz,8GB,512GB SSD,Nvidia,GeForce GT,Windows 10,1.7kg,1943.0
412,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,AMD,Radeon,Windows 10,2.1kg,469.0
413,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.6kg,789.01
414,Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.27kg,928.0
415,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,256GB SSD,AMD,Radeon R5,Linux,2.3kg,598.9
416,Dell,Notebook,13.3,1366x768,Intel,Core i3 6006U,2GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.65kg,689.0
417,HP,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 6500U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.43kg,1500.0
418,Dell,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.14kg,539.95
419,Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon RX,Windows 10,1.75kg,1215.38
420,Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX,Windows 10,2kg,1899.0
421,Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel,Celeron Quad Core N3450,1.1GHz,6GB,64GB Flash Storage,Intel,HD Graphics,Windows 10,1.4kg,449.0
422,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2.31kg,1427.0
423,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4GHz,8GB,1TB HDD,Nvidia,GeForce,Linux,2.3kg,597.0
424,Dell,Gaming,17.3,IPS Panel 2560x1440,Intel,Core i7 7820HK,2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,4.42kg,2799.0
425,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.62kg,1159.0
426,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD +  2TB HDD,AMD,Radeon,Windows 10,2.02kg,1142.4
427,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7600U,2.8GHz,8GB,256GB SSD,Intel,HD Graphics,Linux,1.6kg,1099.0
428,HP,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,12GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3.35kg,1999.0
429,Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Celeron Dual Core N3350,1.1GHz,4GB,32GB SSD,Intel,HD Graphics,Windows 10,1.16kg,299.0
430,Samsung,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,16GB Flash Storage,Intel,HD Graphics,Chrome OS,1.15kg,269.0
431,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.4kg,1010.0
432,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.7kg,599.0
433,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7600U,2.8GHz,16GB,512GB SSD,Nvidia,GeForce,Windows 10,2.3kg,2445.0
434,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9GHz,16GB,512GB SSD,Nvidia,Quadro,Windows 10,2.5kg,2449.0
435,Asus,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1600,3.2GHz,8GB,256GB SSD +  1TB HDD,AMD,Radeon RX,Windows 10,3.2kg,1695.0
436,HP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2.1kg,347.0
437,Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel,Core i7 7Y75,1.3GHz,16GB,512GB SSD,Intel,HD Graphics,Chrome OS,1.1kg,2199.0
438,Lenovo,Ultrabook,14.0,2560x1440,Intel,Core i7 7500U,2.7GHz,24GB,512GB SSD,Intel,HD Graphics,Windows 10,1.32kg,2382.0
439,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,256GB SSD,Intel,HD Graphics,Linux,2kg,559.0
440,Lenovo,Notebook,17.3,1600x900,AMD,A6-Series 9220,2.5GHz,8GB,1TB HDD,AMD,Radeon,Windows 10,2.8kg,519.0
441,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,256GB SSD,AMD,Radeon,Windows 10,2.2kg,749.0
442,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.36kg,1429.0
443,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Pentium Quad Core N4200,1.1GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,2.2kg,349.0
444,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.2kg,1099.0
445,Dell,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7440HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.64kg,1179.0
446,Acer,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,4GB,500GB HDD,Intel,HD Graphics,Linux,2.4kg,441.8
447,Dell,Workstation,15.6,Full HD 1920x1080,Intel,Xeon E3-1505M V6,3GHz,8GB,64GB Flash Storage +  1TB HDD,Nvidia,Quadro,Windows 10,2.23kg,1993.0
448,MSI,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.2kg,1027.74
449,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7660U,2.5GHz,16GB,512GB SSD,Intel,Iris Plus Graphics,Windows 10 S,1.25kg,2589.0
450,HP,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,128GB SSD,Intel,HD Graphics,Windows 10,1.91kg,589.0
451,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,2.7GHz,16GB,256GB SSD,Nvidia,Quadro,Windows 10,2.17kg,1975.0
452,HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7820HQ,2.9GHz,8GB,512GB SSD,Intel,HD Graphics,Windows 10,2.31kg,1534.0
453,Lenovo,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.65kg,1345.0
454,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.36kg,979.0
455,Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Pentium Quad Core N3710,1.6GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,1.47kg,479.0
456,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.7GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,4.42kg,2046.0
457,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core M m3-7Y30,2.2GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10 S,1.252kg,989.0
458,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7660U,2.5GHz,8GB,256GB SSD,Intel,Iris Plus Graphics,Windows 10 S,1.25kg,1799.0
459,HP,Notebook,17.3,1600x900,Intel,Core i3 6006U,2GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2.5kg,639.9
460,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,2.23kg,544.0
461,Acer,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.4kg,435.0
462,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.37kg,749.0
463,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,512GB SSD,AMD,Radeon R7,No OS,1.5kg,799.0
464,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9GHz,8GB,256GB SSD,Nvidia,Quadro,Windows 10,2.67kg,2090.0
465,Asus,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2kg,304.0
466,Acer,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,Nvidia,GeForce GTX,Windows 10,2.2kg,469.0
